ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
BinEditPolyline	Линия полигоном на бинарном изображении	Редактор бинарного	Линия полигоном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия полигоном на бинарном изображении	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll			
Comment	Комментарий	Редактор	Нанести комментарий: левая кнопка мыши. Ctrl+Enter: переход строки. Enter: завершить. Комментарий	 (interactive)	c:\vt5\vt5\x64\Debug\comps\Editor.dll	X:int=-1; Y:int=-1; xArrow:int=-1; yArrow:int=-1; nCommentID:int=-1; Text:string		
Even	Выравнивание фона	Internal Actions	Выравнивание фона Выравнивание фона	 (filter)	c:\vt5\vt5\x64\Debug\comps\Even.dll	MaskSize:int=16; Contrast:bool=0; EvenColor:bool=0; Restriction:bool=0; Source:Image	Even:Image	
FourierMode	Режим FFT	FFT	Начало и завершение режима быстрого преобразования Фурье Режим FFT		c:\vt5\vt5\x64\Debug\comps\fft.dll			
Fourier	Прямое преобразование Фурье	FFT	Провести прямое преобразование Фурье на активном изображении Прямое преобразование Фурье	 (filter)	c:\vt5\vt5\x64\Debug\comps\fft.dll	Source:Image	FFT Image:Image	
FourierBack	Обратное преобразование Фурье	FFT	Провести обратное преобразование Фурье на активном изображении Обратное преобразование Фурье	 (filter)	c:\vt5\vt5\x64\Debug\comps\fft.dll	FFT:Image	RestoredFFT:Image	
FourierRemove	Удалить области спектра	FFT	Удалить области со спектра Фурье Удалить области спектра	 (filter)	c:\vt5\vt5\x64\Debug\comps\fft.dll	Inside:bool=1; SelectedArea:Image	ResImage:Image	
FourierHilight	Выделить области спектра	FFT	Выделить области со спектра  Фурье Выделить области спектра	 (filter)	c:\vt5\vt5\x64\Debug\comps\fft.dll	Inside:bool=1; SelectedArea:Image	ResImage:Image	
GrayThresholdingBinAutoMute	Выделить маски на полутоновом	Фильтры	Выделить маски на полутоновом Выделить маски на полутоновом		c:\vt5\vt5\x64\Debug\comps\FiltersMain.dll	LightOnDark:bool=0; PaneNum:int=-1; Image:Image		
GrayThresholdingBinAuto	Выделить маски на полутоновом	Фильтры	Выделить маски на полутоновом Выделить маски на полутоновом	 (filter)	c:\vt5\vt5\x64\Debug\comps\FiltersMain.dll	LightOnDark:bool=0; PaneNum:int=-1; Image:Image	ThresholdingGrayAuto:Binary	
GrayThresholding	Выделение масок на полутоновом	Фильтры	Выделение масок на полутоновом Выделение масок на полутоновом	 (filter)	c:\vt5\vt5\x64\Debug\comps\FiltersMain.dll	Low:int=96; High:int=192; Image:Image; PaneNum:int=-1	ObjectList:Object List	
AddRemoveColor	Добавить/удалить цвет	Internal Actions	Добавить/удалить цвет Добавить/удалить цвет	 (interactive)	c:\vt5\vt5\x64\Debug\comps\FiltersMain.dll	X:int=-1; Y:int=-1		
