ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
MirrorHorz	Горизонтальное отражение	Изображение	Горизонтальное отражение изображения Горизонтальное отражение	 (filter)		Source:Image	FlipedHorz:Image	
MirrorVert	Вертикальное отражение	Изображение	Вертикальное отражение изображения Вертикальное отражение	 (filter)		Source:Image	FlipedVert:Image	
Rotate90	Повернуть на 90	Изображение	Поворот изображения на 90 градусов Повернуть на 90	 (filter)		Source:Image	Rotated90:Image	
Rotate180	Повернуть на 180	Изображение	Поворот изображения на 180 градусов Повернуть на 180	 (filter)		Source:Image	Rotated180:Image	
Rotate270	Повернуть на 270	Изображение	Поворот изображения на 270 градусов Повернуть на 270	 (filter)		Source:Image	Rotated270:Image	
Expansion	Выделить цветовые каналы	Изображение	Выделить отдельные цветовые каналы цветного изображения Выделить цветовые каналы					
Merge	Объединить цветовые каналы	Правка	Объединить цветовые каналы изображения Объединить цветовые каналы	 (filter)		ColorSpace:string=RGB; Pane0Image:Image; Pane1Image:Image; Pane2Image:Image	Combined:Image	
Clone	Дубликат изображения	Изображение	Создать дубликат изображения Дубликат изображения			Source:string		
Borders	Добавить поля	Internal Actions	Нанести поля на изображение Добавить поля	 (filter)		Left:int=0; Top:int=0; Right:int=0; Bottom:int=0; Source:Image	Expanded:Image	
Crop	Вырезать фрагмент	Изображение	Вырезать фрагмент изображения Вырезать фрагмент	 (interactive)		X:int=0; Y:int=0; Width:int=-1; Height:int=-1		
ShowSource	Исходное изображение	Вид	Показать исходное изображение Исходное изображение					
ShowPseudo	Цветокодированное изображение	Вид	Показать цветокодированное изображение Цветокодированное изображение					
ShowPhase	Показать фазы	Вид	Показать фазы Показать фазы					
ShowBinaryFore	Трейсы на исходном изображении	Вид	Показать трейсы на исходном изображении Трейсы на исходном изображении					
ShowBinaryBack	Трейсы на фоне	Вид	Показать трейсы на фоне Трейсы на фоне					
ShowBinary	Бинарное изображение	View	Показать бинарное изображение Бинарное изображение					
ShowBinaryContour	Показать бинарное с контурами	View	Показать бинарное изображение с контурами Показать бинарное с контурами					
